July 2021 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 127 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",80.4,47,-0.3,80.7
AL-003,"Baldwin County",81.6,78,0.4,81.2
AL-005,"Barbour County",79.4,26,-1.0,80.4
AL-007,"Bibb County",78.9,29,-1.2,80.1
AL-009,"Blount County",78.0,45,-0.8,78.8
AL-011,"Bullock County",79.2,33,-0.9,80.1
AL-013,"Butler County",80.6,75,0.3,80.3
AL-015,"Calhoun County",78.3,48,-0.5,78.8
AL-017,"Chambers County",78.3,56,-0.1,78.4
AL-019,"Cherokee County",77.5,27,-1.4,78.9
AL-021,"Chilton County",79.1,40,-0.6,79.7
AL-023,"Choctaw County",80.8,55,0.0,80.8
AL-025,"Clarke County",80.8,60,0.1,80.7
AL-027,"Clay County",77.3,48,-0.3,77.6
AL-029,"Cleburne County",76.9,44,-0.6,77.5
AL-031,"Coffee County",80.4,56,-0.1,80.5
AL-033,"Colbert County",79.0,58,0.0,79
AL-035,"Conecuh County",81.8,98,0.9,80.9
AL-037,"Coosa County",78.6,41,-0.5,79.1
AL-039,"Covington County",81.2,84,0.4,80.8
AL-041,"Crenshaw County",79.8,54,-0.2,80
AL-043,"Cullman County",77.8,40,-0.8,78.6
AL-045,"Dale County",80.3,48,-0.4,80.7
AL-047,"Dallas County",80.8,58,0.0,80.8
AL-049,"DeKalb County",76.1,33,-1.2,77.3
AL-051,"Elmore County",80.0,40,-0.3,80.3
AL-053,"Escambia County",82.0,101,0.9,81.1
AL-055,"Etowah County",78.2,43,-0.8,79
AL-057,"Fayette County",78.5,23,-1.7,80.2
AL-059,"Franklin County",77.9,39,-0.8,78.7
AL-061,"Geneva County",80.8,51,-0.1,80.9
AL-063,"Greene County",79.8,24,-1.5,81.3
AL-065,"Hale County",79.6,28,-1.2,80.8
AL-067,"Henry County",80.2,38,-0.6,80.8
AL-069,"Houston County",81.1,54,-0.2,81.3
AL-071,"Jackson County",76.8,31,-1.0,77.8
AL-073,"Jefferson County",78.7,33,-1.0,79.7
AL-075,"Lamar County",78.9,27,-1.5,80.4
AL-077,"Lauderdale County",78.8,66,0.1,78.7
AL-079,"Lawrence County",77.9,38,-1.0,78.9
AL-081,"Lee County",78.8,42,-0.4,79.2
AL-083,"Limestone County",77.9,37,-0.9,78.8
AL-085,"Lowndes County",80.9,56,0.0,80.9
AL-087,"Macon County",79.8,40,-0.5,80.3
AL-089,"Madison County",77.8,36,-0.9,78.7
AL-091,"Marengo County",80.3,41,-0.6,80.9
AL-093,"Marion County",77.9,29,-1.4,79.3
AL-095,"Marshall County",77.8,41,-0.8,78.6
AL-097,"Mobile County",81.4,79,0.4,81
AL-099,"Monroe County",81.4,86,0.7,80.7
AL-101,"Montgomery County",80.2,38,-0.6,80.8
AL-103,"Morgan County",78.0,39,-0.9,78.9
AL-105,"Perry County",79.6,36,-0.8,80.4
AL-107,"Pickens County",79.3,20,-1.7,81
AL-109,"Pike County",79.4,34,-0.8,80.2
AL-111,"Randolph County",77.8,62,0.0,77.8
AL-113,"Russell County",79.3,28,-1.0,80.3
AL-115,"St. Clair County",78.5,48,-0.5,79
AL-117,"Shelby County",78.8,39,-0.7,79.5
AL-119,"Sumter County",80.4,39,-0.7,81.1
AL-121,"Talladega County",78.8,53,-0.3,79.1
AL-123,"Tallapoosa County",78.7,52,-0.1,78.8
AL-125,"Tuscaloosa County",79.0,18,-1.8,80.8
AL-127,"Walker County",78.5,24,-1.3,79.8
AL-129,"Washington County",81.0,66,0.1,80.9
AL-131,"Wilcox County",80.9,69,0.1,80.8
AL-133,"Winston County",77.3,27,-1.3,78.6
AZ-001,"Apache County",73.8,124,2.8,71
AZ-003,"Cochise County",77.1,26,-1.0,78.1
AZ-005,"Coconino County",76.5,124,3.3,73.2
AZ-007,"Gila County",78.7,73,0.6,78.1
AZ-009,"Graham County",78.4,36,-0.7,79.1
AZ-011,"Greenlee County",73.7,38,-0.5,74.2
AZ-012,"La Paz County",94.8,125,3.4,91.4
AZ-013,"Maricopa County",90.0,74,0.6,89.4
AZ-015,"Mohave County",85.8,117,3.0,82.8
AZ-017,"Navajo County",76.0,123,2.9,73.1
AZ-019,"Pima County",83.9,21,-1.2,85.1
AZ-021,"Pinal County",86.4,32,-1.0,87.4
AZ-023,"Santa Cruz County",75.3,22,-1.3,76.6
AZ-025,"Yavapai County",80.1,109,2.0,78.1
AZ-027,"Yuma County",94.2,124,3.6,90.6
AR-001,"Arkansas County",80.8,39,-0.8,81.6
AR-003,"Ashley County",81.0,46,-0.3,81.3
AR-005,"Baxter County",77.6,53,-0.5,78.1
AR-007,"Benton County",76.4,29,-1.7,78.1
AR-009,"Boone County",76.6,46,-1.0,77.6
AR-011,"Bradley County",80.9,50,-0.4,81.3
AR-013,"Calhoun County",80.6,36,-0.9,81.5
AR-015,"Carroll County",76.1,36,-1.5,77.6
AR-017,"Chicot County",81.2,43,-0.6,81.8
AR-019,"Clark County",80.2,31,-1.3,81.5
AR-021,"Clay County",79.2,45,-0.9,80.1
AR-023,"Cleburne County",78.0,34,-1.2,79.2
AR-025,"Cleveland County",81.0,52,-0.3,81.3
AR-027,"Columbia County",80.6,36,-1.1,81.7
AR-029,"Conway County",79.9,47,-0.8,80.7
AR-031,"Craighead County",79.9,51,-0.5,80.4
AR-033,"Crawford County",79.0,49,-0.7,79.7
AR-035,"Crittenden County",80.7,42,-0.9,81.6
AR-037,"Cross County",80.4,45,-0.9,81.3
AR-039,"Dallas County",80.4,31,-0.9,81.3
AR-041,"Desha County",80.7,34,-1.0,81.7
AR-043,"Drew County",80.9,44,-0.5,81.4
AR-045,"Faulkner County",80.0,46,-0.8,80.8
AR-047,"Franklin County",78.3,38,-1.3,79.6
AR-049,"Fulton County",77.4,59,-0.3,77.7
AR-051,"Garland County",79.5,37,-0.9,80.4
AR-053,"Grant County",80.7,39,-0.7,81.4
AR-055,"Greene County",79.5,48,-0.7,80.2
AR-057,"Hempstead County",80.2,32,-1.3,81.5
AR-059,"Hot Spring County",80.0,31,-1.2,81.2
AR-061,"Howard County",79.4,41,-0.9,80.3
AR-063,"Independence County",77.9,29,-1.5,79.4
AR-065,"Izard County",77.3,39,-1.1,78.4
AR-067,"Jackson County",79.1,35,-1.2,80.3
AR-069,"Jefferson County",81.2,58,-0.3,81.5
AR-071,"Johnson County",77.3,28,-1.6,78.9
AR-073,"Lafayette County",81.2,43,-0.8,82
AR-075,"Lawrence County",78.6,35,-1.2,79.8
AR-077,"Lee County",80.8,53,-0.6,81.4
AR-079,"Lincoln County",81.1,53,-0.5,81.6
AR-081,"Little River County",81.1,52,-0.4,81.5
AR-083,"Logan County",78.8,23,-1.7,80.5
AR-085,"Lonoke County",80.3,35,-1.1,81.4
AR-087,"Madison County",75.4,41,-1.2,76.6
AR-089,"Marion County",77.2,48,-0.9,78.1
AR-091,"Miller County",81.7,53,-0.5,82.2
AR-093,"Mississippi County",80.4,52,-0.6,81
AR-095,"Monroe County",80.6,40,-0.9,81.5
AR-097,"Montgomery County",78.8,44,-0.8,79.6
AR-099,"Nevada County",80.0,26,-1.7,81.7
AR-101,"Newton County",75.3,38,-1.3,76.6
AR-103,"Ouachita County",80.4,28,-1.4,81.8
AR-105,"Perry County",80.1,43,-0.9,81
AR-107,"Phillips County",80.8,42,-0.6,81.4
AR-109,"Pike County",79.4,35,-1.0,80.4
AR-111,"Poinsett County",80.2,51,-0.7,80.9
AR-113,"Polk County",77.6,43,-0.9,78.5
AR-115,"Pope County",78.2,34,-1.3,79.5
AR-117,"Prairie County",80.2,27,-1.3,81.5
AR-119,"Pulaski County",80.2,36,-1.1,81.3
AR-121,"Randolph County",78.4,41,-1.0,79.4
AR-123,"St. Francis County",80.6,44,-0.8,81.4
AR-125,"Saline County",79.9,38,-1.0,80.9
AR-127,"Scott County",78.4,37,-1.2,79.6
AR-129,"Searcy County",76.1,39,-1.4,77.5
AR-131,"Sebastian County",79.7,43,-1.1,80.8
AR-133,"Sevier County",80.1,47,-0.6,80.7
AR-135,"Sharp County",77.5,42,-1.0,78.5
AR-137,"Stone County",77.0,37,-1.2,78.2
AR-139,"Union County",80.7,39,-0.8,81.5
AR-141,"Van Buren County",77.4,40,-1.1,78.5
AR-143,"Washington County",76.9,50,-0.7,77.6
AR-145,"White County",79.3,32,-1.3,80.6
AR-147,"Woodruff County",80.0,34,-1.2,81.2
AR-149,"Yell County",79.4,27,-1.4,80.8
CA-001,"Alameda County",73.2,126,4.1,69.1
CA-003,"Alpine County",66.5,126,5.3,61.2
CA-005,"Amador County",80.4,127,6.3,74.1
CA-007,"Butte County",81.5,126,5.2,76.3
CA-009,"Calaveras County",80.6,126,5.8,74.8
CA-011,"Colusa County",83.5,127,5.8,77.7
CA-013,"Contra Costa County",74.4,118,3.7,70.7
CA-015,"Del Norte County",71.4,127,7.0,64.4
CA-017,"El Dorado County",77.0,127,6.3,70.7
CA-019,"Fresno County",77.9,126,5.6,72.3
CA-021,"Glenn County",82.2,126,4.8,77.4
CA-023,"Humboldt County",71.5,127,5.8,65.7
CA-025,"Imperial County",95.8,124,4.1,91.7
CA-027,"Inyo County",85.9,125,5.0,80.9
CA-029,"Kern County",85.1,126,5.5,79.6
CA-031,"Kings County",86.0,126,5.3,80.7
CA-033,"Lake County",79.2,127,6.0,73.2
CA-035,"Lassen County",72.8,127,6.8,66
CA-037,"Los Angeles County",78.8,123,4.6,74.2
CA-039,"Madera County",79.4,127,6.2,73.2
CA-041,"Marin County",62.4,108,1.8,60.6
CA-043,"Mariposa County",78.8,127,6.4,72.4
CA-045,"Mendocino County",73.3,127,5.4,67.9
CA-047,"Merced County",82.4,125,4.9,77.5
CA-049,"Modoc County",73.1,127,7.6,65.5
CA-051,"Mono County",68.1,126,5.4,62.7
CA-053,"Monterey County",72.5,125,3.9,68.6
CA-055,"Napa County",75.0,119,3.2,71.8
CA-057,"Nevada County",75.4,127,6.6,68.8
CA-059,"Orange County",74.9,119,3.7,71.2
CA-061,"Placer County",76.2,127,6.1,70.1
CA-063,"Plumas County",70.7,126,5.8,64.9
CA-065,"Riverside County",90.3,126,5.1,85.2
CA-067,"Sacramento County",79.5,119,3.5,76
CA-069,"San Benito County",76.4,125,4.4,72
CA-071,"San Bernardino County",90.6,127,4.6,86
CA-073,"San Diego County",78.8,122,4.0,74.8
CA-075,"San Francisco County",63.0,119,2.3,60.7
CA-077,"San Joaquin County",78.8,115,3.1,75.7
CA-079,"San Luis Obispo County",75.7,123,4.7,71
CA-081,"San Mateo County",64.2,113,2.4,61.8
CA-083,"Santa Barbara County",71.8,123,4.6,67.2
CA-085,"Santa Clara County",72.7,123,3.9,68.8
CA-087,"Santa Cruz County",65.9,116,2.6,63.3
CA-089,"Shasta County",79.1,127,6.4,72.7
CA-091,"Sierra County",70.7,127,6.7,64
CA-093,"Siskiyou County",73.8,127,7.8,66
CA-095,"Solano County",75.6,120,3.0,72.6
CA-097,"Sonoma County",68.3,118,2.8,65.5
CA-099,"Stanislaus County",80.5,122,4.2,76.3
CA-101,"Sutter County",83.0,126,4.8,78.2
CA-103,"Tehama County",81.4,127,5.0,76.4
CA-105,"Trinity County",76.3,127,7.2,69.1
CA-107,"Tulare County",77.1,126,5.5,71.6
CA-109,"Tuolumne County",72.3,126,5.2,67.1
CA-111,"Ventura County",72.9,122,4.4,68.5
CA-113,"Yolo County",80.4,123,3.8,76.6
CA-115,"Yuba County",82.6,127,5.9,76.7
CO-001,"Adams County",75.6,116,3.2,72.4
CO-003,"Alamosa County",66.7,125,2.9,63.8
CO-005,"Arapahoe County",74.8,116,3.2,71.6
CO-007,"Archuleta County",65.6,111,1.9,63.7
CO-009,"Baca County",75.6,42,-0.9,76.5
CO-011,"Bent County",77.6,80,0.6,77
CO-013,"Boulder County",67.2,110,2.3,64.9
CO-014,"Broomfield County",74.8,113,2.8,72
CO-015,"Chaffee County",60.1,119,2.6,57.5
CO-017,"Cheyenne County",75.9,81,0.9,75
CO-019,"Clear Creek County",58.8,115,2.5,56.3
CO-021,"Conejos County",62.4,119,2.3,60.1
