SiteNumber	Type	LocationID	EffectiveDate	Region	DistrictOffice	State	StateName	County	CountyState	City	FacilityName	Ownership	Use	Owner	OwnerAddress	OwnerCSZ	OwnerPhone	Manager	ManagerAddress	ManagerCSZ	ManagerPhone	ARPLatitude	ARPLatitudeS	ARPLongitude	ARPLongitudeS	ARPMethod	ARPElevation	ARPElevationMethod	MagneticVariation	MagneticVariationYear	TrafficPatternAltitude	ChartName	DistanceFromCBD	DirectionFromCBD	LandAreaCoveredByAirport	BoundaryARTCCID	BoundaryARTCCComputerID	BoundaryARTCCName	ResponsibleARTCCID	ResponsibleARTCCComputerID	ResponsibleARTCCName	TieInFSS	TieInFSSID	TieInFSSName	AirportToFSSPhoneNumber	TieInFSSTollFreeNumber	AlternateFSSID	AlternateFSSName	AlternateFSSTollFreeNumber	NOTAMFacilityID	NOTAMService	ActivationDate	AirportStatusCode	CertificationTypeDate	FederalAgreements	AirspaceDetermination	CustomsAirportOfEntry	CustomsLandingRights	MilitaryJointUse	MilitaryLandingRights	InspectionMethod	InspectionGroup	LastInspectionDate	LastOwnerInformationDate	FuelTypes	AirframeRepair	PowerPlantRepair	BottledOxygenType	BulkOxygenType	LightingSchedule	BeaconSchedule	ATCT	UNICOMFrequencies	CTAFFrequency	SegmentedCircle	BeaconColor	NonCommercialLandingFee	MedicalUse	SingleEngineGA	MultiEngineGA	JetEngineGA	HelicoptersGA	GlidersOperational	MilitaryOperational	Ultralights	OperationsCommercial	OperationsCommuter	OperationsAirTaxi	OperationsGALocal	OperationsGAItin	OperationsMilitary	OperationsDate	AirportPositionSource	AirportPositionSourceDate	AirportElevationSource	AirportElevationSourceDate	ContractFuelAvailable	TransientStorage	OtherServices	WindIndicator	IcaoIdentifier	MinimumOperationalNetwork
50009.*A	AIRPORT	'ADK	8/12/21	AAL	NONE	AK	ALASKA	ALEUTIANS WEST	AK	ADAK ISLAND	ADAK	PU	PU	ALASKA DOT&PF SOUTHCOAST REGION	1500 ANTON LARSON	"KODIAK, AK 99615-2506"	    907-465-1784	INNOCENT DUSHKIN	P O BOX 1952	"ADAK, AK 99546"	    907-592-8026	51-53-00.8980N	186780.8980N	176-38-32.9360W	635912.9360W	E	19	S	07E	2000		W ALEUTIAN ISLS	0	W		ZAN	ZAN	ANCHORAGE	ZAP	ZAP	ANCHORAGE OCEANIC	N	CDB	COLD BAY	907-532-2466	1-800-478-7250	ENA	KENAI	1-866-864-1737	ADK	Y	4/1/49	O	I B S 04/2005	N	NO OBJECTION	N	N	N	Y	F	F	7272019	1081991	A1	NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N		122.9	Y	CG			0	0	0	0	0	0	0	104		0	0	100	28	6/30/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		HGR	CARGO	Y	PADK	N
50016.1*A	AIRPORT	'AKK	8/12/21	AAL	NONE	AK	ALASKA	KODIAK ISLAND	AK	AKHIOK	AKHIOK	PU	PU	ALASKA DOT&PF SOUTHCOAST REGION	PO BOX 112506	"JUNEAU, AK 99811-6900"	    907-269-0760	PHIL SMITH	1500 ANTON LARSON RD.	"KODIAK, AK 99615"	    907-487-4952	56-56-19.2870N	204979.2870N	154-10-57.2000W	555057.2000W	E	44	S	18E	2005		KODIAK	1	SSW		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				AKK	Y	11/1/79	O		NGY	NO OBJECTION	N	N		Y	C	C	7302019			NONE	NONE	NONE	NONE			N	122.8	122.8	N		N		0	0	0	0	0	0	0			1500		100		12/31/18	NACO	00:00.0	NACO	00:00.0				Y	PAKH	N
50017.*A	AIRPORT	'Z13	8/12/21	AAL	NONE	AK	ALASKA	BETHEL	AK	AKIACHAK	AKIACHAK	PU	PU	ALASKA DOT&PF CENTRAL REGION	PO BOX 196900	"ANCHORAGE, AK 99519-6900"	    907-269-0770	JOSEPH LARAUX	"STATE OF ALASKA DOT, 2016 AIRPORT ROAD"	"BETHEL, AK 99559"	  (907) 543-2498	60-54-49.7150N	219289.7150N	161-29-35.9850W	581375.9850W	E	22	S	19E	1985		MC GRATH	2	W	231	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	1/1/68	O		N	NO OBJECTION	N	N	N	Y	C	C	6302017			NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N		122.9	Y	CG	N		0	0	0	0	0	0	0			3000				12/31/16	STATE	00:00.0	STATE	00:00.0			CARGO	Y-L	PFZK	N
50017.1*C	SEAPLANE BASE	'KKI	8/12/21	AAL	NONE	AK	ALASKA	BETHEL	AK	AKIACHAK	AKIACHAK	PU	PU	PUBLIC DOMAIN				NONE				60-54-28.3130N	219268.3130N	161-26-06.2780W	581166.2780W	E	18	E	19E	1985		MC GRATH	0	S		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	7/1/66	O			NO OBJECTION	N	N	N	N	S	C	6302017			NONE	NONE	NONE	NONE			N		122.9	N		N													10		12/31/16								N		N
50020.*A	AIRPORT	'AKI	8/12/21	AAL	NONE	AK	ALASKA	BETHEL	AK	AKIAK	AKIAK	PU	PU	ALASKA DOT&PF CENTRAL REGION	PO BOX 196900	"ANCHORAGE, AK 99519-6900"	    907-269-0760	JOSEPH LARAUX	P O BOX 505	"BETHEL, AK 99559"	  (907) 543-2498	60-54-10.4300N	219250.4300N	161-13-50.1000W	580430.1000W	E	39	E	16E	2005		MC GRATH	0	SW	59	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	7/1/66	O		N1	NO OBJECTION	N	N	N	Y	C	C	6302017			NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N		122.9	Y	CG	N		0	0	0	0	0	0	0			1000				12/31/16	STATE	00:00.0	STATE	00:00.0			CARGO	Y-L	PFAK	N
50022.*C	SEAPLANE BASE	'KQA	8/12/21	AAL	NONE	AK	ALASKA	ALEUTIANS EAST	AK	AKUTAN	AKUTAN	PU	PU	CITY OF AKUTAN	PO BOX 109	"AKUTAN, AK 99553"	    907-698-2228	JOE BERESKIN	"CITY OF AKUTAN, 100 WINDY WAY"	"AKUTAN, AK 99553"	    907-698-2241	54-08-02.0400N	194882.0400N	165-46-42.1800W	596802.1800W	E	0	E	15E	1985		DUTCH HARBOR	0	S		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	CDB	COLD BAY	907-532-2466	1-800-478-7250	ENA	KENAI	1-866-864-1737	CDB	Y		O		N	NOT ANALYZED	N	N	N	N	S	C	7132019			NONE	NONE	NONE	NONE			N		122.9	N		N		0	0	0	0	0	0	0	0		200				12/31/18	STATE	00:00.0	STATE	00:00.0				Y		N
50022.1*A	AIRPORT	'7AK	8/12/21	AAL	NONE	AK	ALASKA	ALEUTIANS EAST	AK	AKUTAN	AKUTAN	PU	PU	ALASKA DOT&PF SOUTHCOAST REGION	PO BOX 112506	"JUNEAU, AK 99811-2506"	  (907) 465-1779	DALE RUCKMAN	P.O. BOX 920525	"DUTCH HARBOR, AK 99692"	  (907) 581-1786	54-08-40.6000N	194920.6000N	165-36-14.7900W	596174.7900W	E	129	S	10E	2015		DUTCH HARBOR	6	E	369	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		CDB	COLD BAY	907-532-2466	1-800-478-7250	ENA	KENAI	1-866-864-1737	7AK	Y	7/1/12	O		N							S	8142020							SEE RMK	SS-SR	N		122.9	Y	CG			0	0	0	0	0	0	0			624				12/31/19	STATE	00:00.0	3RD PARTY SURVEY	00:00.0				Y-L	PAUT	N
50024.1*A	AIRPORT	'AUK	8/12/21	AAL	NONE	AK	ALASKA	KUSILVAK	AK	ALAKANUK	ALAKANUK	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER ROAD	"FAIRBANKS, AK 99709"	    907-451-2200	JOHN WILSON	BOX 192	"UNALAKLEET, AK 99684"	  (907) 625-1025	62-40-59.0000N	225659.0000N	164-43-19.9000W	592999.9000W	E	21	S	17E	1985		BETHEL	2	S		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y		O		N	NO OBJECTION	N	N	N	Y	C	C	7012017			NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N		122.9	Y	CG	N		0	0	0	0	0	0	0			1000				12/31/16	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	CARGO	Y-L	PAUK	N
50027.52*C	SEAPLANE BASE	'Z33	8/12/21	AAL	NONE	AK	ALASKA	BRISTOL BAY	AK	ALEKNAGIK	ALEKNAGIK	PR	PU	MOODY	PO BOX 67	"ALEKNAGIK, AK 99555"		ROLAND OR BEVERLY MOODY	PO BOX 67	"ALEKNAGIK, AK 99555"	    907-842-5988	59-16-26.3210N	213386.3210N	158-37-24.9210W	571044.9210W	E	7	E	20E	1985		KODIAK	0	NW		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	DLG	DILLINGHAM	907-842-5275	LC842-5275	ENA	KENAI	1-866-864-1737	DLG	Y	1/1/66	O			NO OBJECTION	N	N	N	N	S	C	5222021		100LLMOGAS	NONE	NONE	NONE	NONE			N		122.9	N		N											200	500			12/31/20						TIE		N		N
50027.53*A	AIRPORT	'5A8	8/12/21	AAL	NONE	AK	ALASKA	DILLINGHAM	AK	ALEKNAGIK	ALEKNAGIK /NEW	PU	PU	ALASKA DOT&PF CENTRAL REGION	PO BOX 196900	"ANCHORAGE, AK 99519-6900"	    907-269-0760	JON TAYLOR	BOX 250	"DILLINGHAM, AK 99576"	    907-842-5511	59-16-57.2000N	213417.2000N	158-37-04.3200W	571024.3200W	E	63	E	20E	1985		KODIAK	1	E	51	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		DLG	DILLINGHAM	907-842-5275	LC842-5275	ENA	KENAI	1-866-864-1737	DLG	Y	12/1/82	O		N					Y	C	C	5222021	12061982								N		122.9					0	0	0	0	0	0	0			430	0	500		12/31/20	STATE	00:00.0	STATE	00:00.0		TIE		Y		N
