"facility_name","addresses","zip_code","lon","lat","geoAddress"
"SOUTHEAST HEALTH MEDICAL CENTER","1108 ROSS CLARK CIRCLE, DOTHAN, AL","36301",-85.3630079,31.215884,"1108 ross clark cir, dothan, al 36301, usa"
"MARSHALL MEDICAL CENTERS","2505 U S HIGHWAY 431 NORTH, BOAZ, AL","35957",-86.1607098,34.221688,"2505 us-431, boaz, al 35957, usa"
"NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE, FLORENCE, AL","35630",-87.6509453,34.8043939,"1701 veterans dr, florence, al 35630, usa"
"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST, OPP, AL","36467",-86.2542062,31.2919852,"702 n main st, opp, al 36467, usa"
"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE, LUVERNE, AL","36049",-86.2650941,31.6933529,"101 hospital dr, luverne, al 36049, usa"
"ST. VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE, BIRMINGHAM, AL","35235",-86.6676502,33.596457,"50 medical park dr e, birmingham, al 35235, usa"
"DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE, FORT PAYNE, AL","35968",-85.7550138,34.4419753,"200 medical center dr sw, fort payne, al 35968, usa"
"SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH, ALABASTER, AL","35007",-86.8130445,33.2524139,"1000 1st st n, alabaster, al 35007, usa"
"CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD, SUITE 500, BIRMINGHAM, AL","35233",-86.8024575,33.5035754,"1720 university blvd #500, birmingham, al 35233, usa"
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE, SHEFFIELD, AL","35660",-87.7003008,34.7460029,"1300 s montgomery ave, sheffield, al 35660, usa"
"DALE MEDICAL CENTER","126 HOSPITAL AVE, OZARK, AL","36360",-85.6320048,31.4517944,"126 hospital ave, ozark, al 36360, usa"
"CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR, CENTRE, AL","35960",-85.6506421,34.1610979,"400 northwood dr, centre, al 35960, usa"
"BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL","36116",-86.2776022,32.3280315,"2105 e south blvd, montgomery, al 36116, usa"
"JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET, MONTGOMERY, AL","36106",-86.2853492,32.3670831,"1725 pine st, montgomery, al 36106, usa"
"EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY, OPELIKA, AL","36801",-85.4053903,32.6386458,"2000 pepperell pkwy, opelika, al 36801, usa"
"UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET, BIRMINGHAM, AL","35233",-86.801914,33.5059347,"619 19th st s, birmingham, al 35233, usa"
